teks_keluhan_awam|teks_laporan_teknisi|tipe_aset|lokasi_gedung|lokasi_lantai|lokasi_zona|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
AC Split di Gedung D Lantai 3 Zona Barat retak parah karena kelembaban tinggi sehingga tidak bisa digunakan|Telah dilakukan perbaikan pada AC Split di Gedung D Lantai 3 Zona Barat dengan biaya total Rp 18771000 karena kerusakan retak parah akibat kelembaban tinggi|AC Split|Gedung D|Lantai 3|Zona Barat|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
AC Split di Gedung D Lantai 3 Zona Barat pecah berat dan bocor karena kelembaban tinggi sehingga mengganggu operasional|Telah dilakukan perbaikan pada AC Split di Gedung D Lantai 3 Zona Barat dengan biaya total Rp 18771000 karena kerusakan pecah berat akibat kelembaban tinggi|AC Split|Gedung D|Lantai 3|Zona Barat|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
AC Split di Gedung D Lantai 3 Zona Barat mengalami kerusakan retak parah dan kebocoran karena kelembaban tinggi sehingga tidak bisa beroperasi|Telah dilakukan perbaikan pada AC Split di Gedung D Lantai 3 Zona Barat dengan biaya total Rp 18771000 karena kerusakan retak parah akibat kelembaban tinggi|AC Split|Gedung D|Lantai 3|Zona Barat|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
Sistem access control di parkir lantai 3 agak panas dan tidak stabil karena kesalahan penggunaan|Teknisi telah memperbaiki masalah overheat pada access control dengan total biaya perbaikan Rp 356000|Access Control|Gedung Parkir|Lantai 3|Zona Tengah|Security Sistem|Ringan|Human error|Overheat|356000
Sistem keamanan di lantai 3 zona tengah mengalami overheat karena human error, perlu diperbaiki agar tidak mengganggu rutinitas|Teknisi telah memperbaiki masalah overheat pada access control dengan total biaya perbaikan Rp 356000|Access Control|Gedung Parkir|Lantai 3|Zona Tengah|Security Sistem|Ringan|Human error|Overheat|356000
Access control di gedung parkir lantai 3 zona tengah mengalami masalah karena overheat dan kesalahan penggunaan, perlu diperbaiki segera|Teknisi telah memperbaiki masalah overheat pada access control dengan total biaya perbaikan Rp 356000|Access Control|Gedung Parkir|Lantai 3|Zona Tengah|Security Sistem|Ringan|Human error|Overheat|356000
Lampu Neon Sign di Gedung D, Lantai 6, Zona Tengah tidak mau menyala karena remote kontrolnya bermasalah mungkin karena overload|Teknisi telah memperbaiki remote kontrol Lampu Neon Sign yang tidak berfungsi di Gedung D, Lantai 6, Zona Tengah dengan total biaya perbaikan Rp 1610000|Lampu Neon Sign|Gedung D|Lantai 6|Zona Tengah|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Lampu Neon Sign di Gedung D, Lantai 6, Zona Tengah sering mati karena overload dan remote kontrolnya tidak berfungsi|Teknisi telah memperbaiki masalah remote kontrol Lampu Neon Sign yang tidak berfungsi di Gedung D, Lantai 6, Zona Tengah dengan total biaya perbaikan Rp 1610000|Lampu Neon Sign|Gedung D|Lantai 6|Zona Tengah|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Lampu Neon Sign di Gedung D, Lantai 6, Zona Tengah mengalami gangguan karena remote kontrolnya tidak berfungsi mungkin disebabkan oleh overload|Teknisi telah memperbaiki remote kontrol Lampu Neon Sign yang tidak berfungsi di Gedung D, Lantai 6, Zona Tengah dengan total biaya perbaikan Rp 1610000|Lampu Neon Sign|Gedung D|Lantai 6|Zona Tengah|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
AC Split di Gedung D Lantai 3 Zona Barat retak parah karena kelembaban tinggi sehingga tidak bisa digunakan|Telah dilakukan perbaikan pada AC Split di Gedung D Lantai 3 Zona Barat dengan biaya total Rp 18771000 karena kerusakan retak parah akibat kelembaban tinggi|AC Split|Gedung D|Lantai 3|Zona Barat|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
AC Split di Gedung D Lantai 3 Zona Barat pecah berat dan bocor karena kelembaban tinggi sehingga mengganggu operasional|Telah dilakukan perbaikan pada AC Split di Gedung D Lantai 3 Zona Barat dengan biaya total Rp 18771000 karena kerusakan pecah berat akibat kelembaban tinggi|AC Split|Gedung D|Lantai 3|Zona Barat|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
AC Split di Gedung D Lantai 3 Zona Barat mengalami kerusakan retak parah dan kebocoran karena kelembaban tinggi sehingga tidak bisa beroperasi|Telah dilakukan perbaikan pada AC Split di Gedung D Lantai 3 Zona Barat dengan biaya total Rp 18771000 karena kerusakan retak parah akibat kelembaban tinggi|AC Split|Gedung D|Lantai 3|Zona Barat|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
Sistem access control di parkir lantai 3 agak panas dan tidak stabil karena kesalahan penggunaan|Teknisi telah memperbaiki masalah overheat pada access control dengan total biaya perbaikan Rp 356000|Access Control|Gedung Parkir|Lantai 3|Zona Tengah|Security Sistem|Ringan|Human error|Overheat|356000
Sistem keamanan di lantai 3 zona tengah mengalami overheat karena human error, perlu diperbaiki agar tidak mengganggu rutinitas|Teknisi telah memperbaiki masalah overheat pada access control dengan total biaya perbaikan Rp 356000|Access Control|Gedung Parkir|Lantai 3|Zona Tengah|Security Sistem|Ringan|Human error|Overheat|356000
Access control di gedung parkir lantai 3 zona tengah mengalami masalah karena overheat dan kesalahan penggunaan, perlu diperbaiki segera|Teknisi telah memperbaiki masalah overheat pada access control dengan total biaya perbaikan Rp 356000|Access Control|Gedung Parkir|Lantai 3|Zona Tengah|Security Sistem|Ringan|Human error|Overheat|356000
Lampu Neon Sign di Gedung D, Lantai 6, Zona Tengah tidak mau menyala karena remote kontrolnya bermasalah mungkin karena overload|Teknisi telah memperbaiki remote kontrol Lampu Neon Sign yang tidak berfungsi di Gedung D, Lantai 6, Zona Tengah dengan total biaya perbaikan Rp 1610000|Lampu Neon Sign|Gedung D|Lantai 6|Zona Tengah|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Lampu Neon Sign di Gedung D, Lantai 6, Zona Tengah sering mati karena overload dan remote kontrolnya tidak berfungsi|Teknisi telah memperbaiki masalah remote kontrol Lampu Neon Sign yang tidak berfungsi di Gedung D, Lantai 6, Zona Tengah dengan total biaya perbaikan Rp 1610000|Lampu Neon Sign|Gedung D|Lantai 6|Zona Tengah|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
