input_teks,kategori_aset,severity,root_cause,tindakan
"AC di ruang server kok panas banget ya, kayaknya udah nggak dingin blas. Setelah dicek, freonnya bocor halus di sambungan pipa, langsung ditambal dan isi ulang.",HVAC,Tinggi,Kebocoran Freon,Penambalan dan Isi Ulang Freon
"Pompa air di area produksi sering mati sendiri, bikin aliran air nggak stabil. Ternyata kapasitor startingnya lemah, udah diganti baru, sekarang lancar.",Kelistrikan & Pompa,Sedang,Kapasitor Rusak,Penggantian Komponen
"Genset nggak mau nyala sama sekali pas mati lampu, panik banget! Setelah diperiksa, aki udah soak total, diganti aki baru langsung jreng.",Power Supply & Generator,Kritis,Aki Soak,Penggantian Komponen
"Conveyor belt di jalur packing suka nyangkut dan berisik banget. Ketahuan bearingnya aus parah, udah diganti semua bearing yg rusak.",Mekanikal,Sedang,Bearing Aus,Penggantian Komponen
"Kompresor angin kok tekanannya drop terus ya, padahal baru diservis. Ternyata ada kebocoran di seal piston, udah diganti sealnya.",Udara Bertekanan,Tinggi,Seal Rusak,Penggantian Komponen
"Motor listrik di mesin pencampur bau gosong dan nggak muter. Gulungan statornya kebakar akibat overcurrent, perlu lilit ulang atau ganti baru.",Kelistrikan & Pompa,Kritis,Gulungan Terbakar,Perbaikan/Penggantian Motor
"Valve otomatis di tangki pendingin nggak mau nutup sempurna, airnya netes terus. Ada kotoran nyangkut di seal, udah dibersihin.",Instrumentasi & Kontrol,Rendah,Kotoran pada Seal,Pembersihan Komponen
"Boiler nggak bisa mencapai suhu yg diminta, tekanan uapnya juga rendah. Cek igniter, ternyata kotor dan apinya kecil, udah dibersihin.",Pemanas & Boiler,Tinggi,Igniter Kotor,Pembersihan Komponen
"Forklift kok remnya blong mendadak, bahaya banget ini! Setelah diperiksa, kampas rem udah tipis banget, udah diganti baru.",Kendaraan & Alat Berat,Kritis,Kampas Rem Aus,Penggantian Komponen
"Mesin press produksinya kurang presisi, hasil cetakannya nggak bagus. Kalibrasi sensor tekanan meleset, udah dikalibrasi ulang.",Mekanikal,Sedang,Kalibrasi Melenceng,Kalibrasi Ulang
"Panel kontrol utama sering restart sendiri, bikin produksi terganggu. Ternyata ada koneksi longgar di terminal power supply, udah dikencengin.",Kelistrikan & Kontrol,Tinggi,Koneksi Longgar,Pengencangan Koneksi
"Sistem chiller di gudang dingin kok nggak dingin optimal ya. Filter udaranya kotor parah, udah diganti filter baru.",HVAC,Rendah,Filter Kotor,Penggantian Komponen
"Exhaust fan di dapur kok berisik banget dan nggak nyedot asap. Motornya oblak dan baling-baling kotor, udah dibersihin dan dilumasi.",HVAC,Sedang,Motor Oblak/Kotor,Pembersihan & Pelumasan
"Pembacaan suhu di reaktor kok aneh ya, nggak sesuai sama yg seharusnya. Ternyata sensor suhu rusak, udah diganti sensornya.",Instrumentasi & Kontrol,Tinggi,Sensor Rusak,Penggantian Komponen
"Gearbox mesin pengaduk bunyinya kasar banget dan panas. Oli gearbox udah kotor dan kurang, udah dikuras dan ganti oli baru.",Mekanikal,Sedang,Oli Kotor/Kurang,Penggantian Fluida
"AC di ruang server panas banget, bahaya nih! Termostatnya error, udah diganti baru dan suhu kembali normal.",HVAC,Kritis,Kerusakan Termostat,Penggantian Komponen
"Pompa air di gudang berisik parah, getarannya kenceng. Bearingnya oblak, perlu diganti biar gak jebol.",Kelistrikan & Pompa,Tinggi,Bearing Aus/Rusak,Penggantian Komponen
"Conveyor Belt produksi macet lagi, barang numpuk! Sensor proximity kotor, udah dibersihin dan kalibrasi ulang, jalan lagi.",Sistem Konveyor,Tinggi,Sensor Kotor/Malafungsi,Pembersihan & Kalibrasi
"Aduh, mesin kompresor kok tekanan turun terus ya? Ada kebocoran di seal pipa, udah diatasi pakai sealant khusus.",Kompresor,Sedang,Kebocoran Pipa/Seal,Perbaikan Kebocoran
"Genset utama gak mau start sama sekali. Aki soak, voltase drop. Udah diganti aki baru, langsung jreng.",Genset,Kritis,Aki Rusak/Soak,Penggantian Komponen
"Motor listrik di lini 3 suaranya aneh, kayak gesekan gitu. Ternyata lilitan stator mulai kendor, udah dikencengin dan dites operasional.",Motor Listrik,Sedang,Lilitan Kendor,Pengencangan Komponen
"AC sentral di lantai 2 dinginnya kurang nampol. Filter udaranya kotor banget, udah diganti baru dan performa membaik.",HVAC,Rendah,Filter Kotor,Penggantian Komponen
"Sistem pendingin chiller bocor airnya, lantai jadi licin. Gasket di sambungan pipa udah getas, udah diganti baru.",Sistem Pendingin,Sedang,Gasket Rusak,Penggantian Komponen
"Lampu di area produksi banyak yg mati. Ballastnya rusak, perlu ganti.",Penerangan,Rendah,Ballast Rusak,Penggantian Komponen
"Sensor suhu di oven produksi ngaco nih, bacaannya gak konsisten. Kabel konektornya udah korosi, udah dibersihin dan di-re-terminasi.",Sistem Kontrol & Instrumentasi,Tinggi,Koneksi Korosi,Perbaikan Koneksi
"Forklift susah nyala, starter muter tapi mesin diem. Busi kotor dan celahnya terlalu lebar, udah dibersihin dan distel ulang.",Alat Berat,Sedang,Busi Kotor/Aus,Pembersihan & Penyetelan
"Pipa distribusi air bersih bocor di sambungan T, air muncrat kemana-mana! Clamp pengikatnya longgar, udah dikencengin.",Sistem Perpipaan,Tinggi,Sambungan Longgar,Pengencangan Komponen
