teks_keluhan_awam|teks_laporan_teknisi|tipe_aset|lokasi_gedung|lokasi_lantai|lokasi_zona|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
AC Split di lantai 11 zona selatan gedung utama rusak parah bro|Laporan kerusakan AC Split Samsung di Gedung Utama, Lantai 11, Zona Selatan dengan gejala retak dan kebocoran akibat kelembaban tinggi|AC Split|Gedung Utama|Lantai 11|Zona Selatan|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
AC Split di gedung utama lantai 11 zona selatan tiba2 nggak nyala lagi|Laporan inspeksi menunjukkan bahwa AC Split Samsung di Gedung Utama, Lantai 11, Zona Selatan mengalami kerusakan fatal akibat kelembaban tinggi yang menyebabkan komponen internal retak|AC Split|Gedung Utama|Lantai 11|Zona Selatan|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
Lagi ada masalah dengan AC Split di zona selatan lantai 11 gedung utama, bro kebocoran parah|Tindakan perbaikan darurat diperlukan untuk AC Split Samsung di Gedung Utama, Lantai 11, Zona Selatan karena kerusakan retak yang disebabkan oleh kelembaban tinggi|AC Split|Gedung Utama|Lantai 11|Zona Selatan|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
Monitor CCTV di lantai 7 zona selatan gedung utama rusak|Laporan perbaikan Monitor CCTV Samsung di Gedung Utama, Lantai 7, Zona Selatan dengan kondisi overheat|Monitor CCTV|Gedung Utama|Lantai 7|Zona Selatan|Security Sistem|Ringan|Human error|Overheat|356000
CCTV samsung di gedung utama lantai 7 zona selatan nggak nyala|Pemeriksaan CCTV Samsung di Gedung Utama, Lantai 7, Zona Selatan menunjukkan kerusakan akibat overheat|Monitor CCTV|Gedung Utama|Lantai 7|Zona Selatan|Security Sistem|Ringan|Human error|Overheat|356000
CCTV di gedung utama lantai 7 zona selatan panas banget|Laporan teknisi: Monitor CCTV Samsung di Gedung Utama, Lantai 7, Zona Selatan mengalami kerusakan due to human error yang menyebabkan overheat|Monitor CCTV|Gedung Utama|Lantai 7|Zona Selatan|Security Sistem|Ringan|Human error|Overheat|356000
Gedung B lantai 7 zona tengah control panel penerangan rusak banget|Laporan kerusakan control panel penerangan di Gedung B lantai 7 zona tengah, remote tidak berfungsi|Control Panel Penerangan|Gedung B|Lantai 7|Zona Tengah|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Control panel penerangan di gedung B lantai 7 zona tengah nggak nyala|Kerusakan control panel penerangan di gedung B lantai 7 zona tengah, kemungkinan karena overload, perlu pengecekan lebih lanjut|Control Panel Penerangan|Gedung B|Lantai 7|Zona Tengah|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Tolong bantu, control panel penerangan di gedung B lantai 7 zona tengah rusak, remotenya gak berfungsi|Laporan kerusakan control panel penerangan di gedung B lantai 7 zona tengah, jenis kerusakan remote tidak berfungsi, kemungkinan karena overload|Control Panel Penerangan|Gedung B|Lantai 7|Zona Tengah|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
AC Split di Gedung Utama lantai 18 zona tengah rusak banget|Laporan kerusakan AC Split merek Gree di Gedung Utama lantai 18 zona tengah mengalami overheat|AC Split|Gedung Utama|Lantai 18|Zona Tengah|Mechanical|Ringan|Kurang perawatan|Overheat|122000
AC Split di lantai 18 zona tengah gedung utama tiba2 mati|Laporan teknisi: AC Split merek Gree di Gedung Utama lantai 18 zona tengah mengalami kerusakan overheat karena kurang perawatan|AC Split|Gedung Utama|Lantai 18|Zona Tengah|Mechanical|Ringan|Kurang perawatan|Overheat|122000
Gedung Utama lantai 18 zona tengah AC Splitnya panas berlebihan|Laporan: AC Split merek Gree di Gedung Utama lantai 18 zona tengah mengalami overheat, perlu perawatan rutin|AC Split|Gedung Utama|Lantai 18|Zona Tengah|Mechanical|Ringan|Kurang perawatan|Overheat|122000
DVR CCTV di gedung C lantai 4 zona selatan tiba tiba mati|Laporan kerusakan DVR CCTV Honeywell di Gedung C, Lantai 4, Zona Selatan, menyatakan bahwa aset mengalami getaran berlebihan akibat tegangan tidak stabil|DVR CCTV|Gedung C|Lantai 4|Zona Selatan|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
DVR CCTV honeywell di lantai 4 gedung C zona selatan ngadat|Pemeriksaan terhadap DVR CCTV Honeywell di Gedung C, Lantai 4, Zona Selatan menunjukkan bahwa aset mengalami kerusakan akibat getaran berlebihan yang disebabkan oleh tegangan tidak stabil|DVR CCTV|Gedung C|Lantai 4|Zona Selatan|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
DVR honeywell di gedung C lantai 4 zona selatan rusak parah|Inspeksi DVR CCTV Honeywell di Gedung C, Lantai 4, Zona Selatan menemukan bahwa aset mengalami getaran berlebihan yang parah akibat tegangan tidak stabil, memerlukan perbaikan segera|DVR CCTV|Gedung C|Lantai 4|Zona Selatan|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
Pintu Kaca Hidrolik di Gedung D, Lantai 9, Zona Tengah rusak parah|Pintu Kaca Hidrolik di Gedung D, Lantai 9, Zona Tengah mengalami getaran berlebihan yang disebabkan oleh faktor lingkungan, perlu perbaikan segera|Pintu Kaca Hidrolik|Gedung D|Lantai 9|Zona Tengah|Arsitektur|Sedang|Faktor lingkungan|Getaran berlebihan|1876000
Pintu Kaca Hidrolik di Lantai 9 Gedung D, Zona Tengah gak buka tutup dengan baik|Pintu Kaca Hidrolik di Gedung D, Lantai 9, Zona Tengah mengalami kerusakan pada sistem hidroliknya yang menyebabkan getaran berlebihan, perlu penanganan teknisi|Pintu Kaca Hidrolik|Gedung D|Lantai 9|Zona Tengah|Arsitektur|Sedang|Faktor lingkungan|Getaran berlebihan|1876000
