teks_keluhan_awam|teks_laporan_teknisi|tipe_aset|lokasi_gedung|lokasi_lantai|lokasi_zona|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
AC Cassette rusak parah karena kelembaban tinggi, retak dan pecah dimana-mana, suaranya mati total, tidak bisa digunakan lagi|Rusak parah karena kelembaban|AC Cassette|Gedung Utama|16|Tengah|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
AC Cassette jebol karena kelembaban tinggi|Rusak karena kelembaban|AC Cassette|Gedung Utama|16|Tengah|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
AC Cassette mengalami kerusakan fatal, retak dan pecah akibat kelembaban tinggi, perlu perbaikan segera|Perlu perbaikan segera|AC Cassette|Gedung Utama|16|Tengah|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
Kamera CCTV di Gedung Utama lantai 15 zona timur tiba-tiba netes dan agak berisik karena overheat, sepertinya ada human error yang menyebabkan kerusakan ini|Belum ada laporan teknisi|Kamera CCTV|Gedung Utama|Lantai 15|Zona Timur|Security Sistem|Ringan|Human error|Overheat|356000
Kamera CCTV overheat karena human error|Belum ada laporan teknisi|Kamera CCTV|Gedung Utama|Lantai 15|Zona Timur|Security Sistem|Ringan|Human error|Overheat|356000
Kamera CCTV di Gedung Utama lantai 15 zona timur mengalami kerusakan karena overheat yang disebabkan oleh human error, perlu perbaikan segera|Belum ada laporan teknisi|Kamera CCTV|Gedung Utama|Lantai 15|Zona Timur|Security Sistem|Ringan|Human error|Overheat|356000
AC Cassette rusak parah karena kelembaban tinggi, retak dan pecah dimana-mana, suaranya mati total, tidak bisa digunakan lagi|Rusak parah karena kelembaban|AC Cassette|Gedung Utama|16|Tengah|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
AC Cassette jebol karena kelembaban tinggi|Rusak karena kelembaban|AC Cassette|Gedung Utama|16|Tengah|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
AC Cassette mengalami kerusakan fatal, retak dan pecah akibat kelembaban tinggi, perlu perbaikan segera|Perlu perbaikan segera|AC Cassette|Gedung Utama|16|Tengah|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
Kamera CCTV di Gedung Utama lantai 15 zona timur tiba-tiba netes dan agak berisik karena overheat, sepertinya ada human error yang menyebabkan kerusakan ini|Belum ada laporan teknisi|Kamera CCTV|Gedung Utama|Lantai 15|Zona Timur|Security Sistem|Ringan|Human error|Overheat|356000
