teks_keluhan_awam|teks_laporan_teknisi|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
AC Split Samsung di Gedung Utama Lantai 11 Zona Selatan rusak parah karena kelembaban|Laporan teknisi: AC Split Samsung di Gedung Utama Lantai 11 Zona Selatan mengalami kerusakan fatal akibat kelembaban tinggi|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
AC Split Samsung di kantor Gedung Utama Lantai 11 Zona Selatan tiba-tiba bocor dan pecah|Laporan teknisi: Setelah inspeksi, ditemukan bahwa AC Split Samsung di Gedung Utama Lantai 11 Zona Selatan mengalami kerusakan retak karena kelembaban yang terlalu tinggi|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
Saya menemukan AC Split Samsung di Gedung Utama Lantai 11 Zona Selatan bocor dan rusak parah, sehingga tidak bisa digunakan|Laporan teknisi: AC Split Samsung di Gedung Utama Lantai 11 Zona Selatan mengalami kerusakan fatal karena kelembaban yang terlalu tinggi, sehingga menyebabkan retak dan pecah|Mechanical|Fatal|Kelembaban tinggi|Retak/pecah|18771000
Sistem keamanan di Gedung B Lantai 5 Zona Tengah mengalami masalah|Laporan teknisi: Sistem access control merek lokal di Gedung B Lantai 5 Zona Tengah mengalami overheat karena human error|Security Sistem|Ringan|Human error|Overheat|356000
Sistem akses kontrol merek lokal di Gedung B Lantai 5 Zona Tengah tidak berfungsi dengan baik|Laporan teknisi: Sistem access control merek lokal di Gedung B Lantai 5 Zona Tengah mengalami kerusakan karena overheat yang disebabkan oleh human error|Security Sistem|Ringan|Human error|Overheat|356000
Sistem keamanan di Gedung B Lantai 5 Zona Tengah mengalami gangguan karena sistem access control merek lokal mengalami overheat|Laporan teknisi: Sistem access control merek lokal di Gedung B Lantai 5 Zona Tengah mengalami overheat karena human error dan memerlukan perbaikan|Security Sistem|Ringan|Human error|Overheat|356000
Lampu LED Downlight Generic di Gedung Parkir Lantai 2 Zona Tengah tidak bisa diatur jarak cahayanya|Lampu LED Downlight Generic di Gedung Parkir Lantai 2 Zona Tengah mengalami kerusakan pada remotenya karena overload|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Lampu di parkiran lantai 2 zona tengah gedung tidak bisa dioperasikan dengan remote, kemungkinan karena lampu LED Downlight Generic itu sendiri|Setelah dilakukan pengecekan, ditemukan bahwa kerusakan pada Lampu LED Downlight Generic di Gedung Parkir Lantai 2 Zona Tengah disebabkan oleh overload, sehingga remote tidak berfungsi|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Saya tidak bisa mengatur intensitas cahaya Lampu LED Downlight Generic di Gedung Parkir Lantai 2 Zona Tengah menggunakan remote, mungkin ada kerusakan pada komponen internal|Kerusakan pada Lampu LED Downlight Generic di Gedung Parkir Lantai 2 Zona Tengah disebabkan oleh overload, sehingga menyebabkan remote tidak berfungsi dan perlu diperbaiki|Electrical|Sedang|Overload|Remote tidak berfungsi|1610000
Pompa air tanah Wasser di Gedung A Lantai 4 Zona Selatan tidak berfungsi dengan baik karena suhu yang terlalu tinggi|Pompa air tanah Wasser di Gedung A Lantai 4 Zona Selatan mengalami overheat akibat kurang perawatan|Mechanical|Ringan|Kurang perawatan|Overheat|122000
Pompa air tanah Wasser di Gedung A Lantai 4 Zona Selatan mengalami masalah suhu yang terlalu tinggi sehingga tidak dapat beroperasi|Pompa air tanah Wasser di Gedung A Lantai 4 Zona Selatan tidak berfungsi dengan baik karena suhu yang terlalu tinggi akibat kurang perawatan|Mechanical|Ringan|Kurang perawatan|Overheat|122000
Pompa air tanah Wasser di Gedung A Lantai 4 Zona Selatan tidak dapat digunakan karena suhu yang terlalu tinggi dan perlu perbaikan segera|Pompa air tanah Wasser di Gedung A Lantai 4 Zona Selatan mengalami kerusakan karena overheat akibat kurang perawatan dan memerlukan perbaikan|Mechanical|Ringan|Kurang perawatan|Overheat|122000
Kamera CCTV Axis di Gedung Utama Lantai 4 Zona Tengah saya mengalami getaran berlebihan sehingga gambar menjadi kabur|Setelah melakukan inspeksi, ditemukan bahwa kamera CCTV Axis di Gedung Utama Lantai 4 Zona Tengah mengalami getaran berlebihan karena tegangan tidak stabil|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
Kamera pengawas di Gedung Utama Lantai 4 Zona Tengah tiba-tiba bergetar dan menyebabkan gambar menjadi tidak jelas, saya menggunakan kamera CCTV Axis|Setelah melakukan analisis, saya menemukan bahwa kamera CCTV Axis di Gedung Utama Lantai 4 Zona Tengah mengalami getaran berlebihan karena permasalahan tegangan listrik yang tidak stabil|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
Saya melihat kamera CCTV Axis di Gedung Utama Lantai 4 Zona Tengah bergetar dengan hebat sehingga mengganggu pengawasan, perlu segera diperbaiki|Setelah melakukan pengecekan, saya menyimpulkan bahwa kamera CCTV Axis di Gedung Utama Lantai 4 Zona Tengah mengalami kerusakan karena tegangan listrik yang tidak stabil, menyebabkan getaran berlebihan|Security Sistem|Sedang|Tegangan tidak stabil|Getaran berlebihan|1760000
Pintu import berdaun tunggal di Gedung A Lantai 7 Zona Timur getar terus|Getaran pada pintu berdaun tunggal merek import di Gedung A Lantai 7 Zona Timur mengindikasikan adanya kerusakan|Arsitektur|Sedang|Faktor lingkungan|Getaran berlebihan|1876000
Pintu di Gedung A Lantai 7 Zona Timur tidak stabil saat dibuka|Pintu berdaun tunggal merek import di Gedung A Lantai 7 Zona Timur mengalami getaran berlebihan akibat faktor lingkungan|Arsitektur|Sedang|Faktor lingkungan|Getaran berlebihan|1876000
Pintu merek import di Gedung A Lantai 7 Zona Timur bergetar saat digunakan|Kerusakan pada pintu berdaun tunggal merek import di Gedung A Lantai 7 Zona Timur disebabkan oleh faktor lingkungan yang menyebabkan getaran berlebihan|Arsitektur|Sedang|Faktor lingkungan|Getaran berlebihan|1876000
AC Split Sharp di Gedung D Lantai 5 Zona Barat tidak bisa dioperasikan karena remote tidak berfungsi|AC Split Sharp di Gedung D Lantai 5 Zona Barat mengalami kerusakan remote karena kelembaban tinggi|Mechanical|Sedang|Kelembaban tinggi|Remote tidak berfungsi|1228000
Saya tidak bisa mengontrol suhu di ruangan Gedung D Lantai 5 Zona Barat karena remote AC Split Sharp tidak berfungsi|Kerusakan remote pada AC Split Sharp di Gedung D Lantai 5 Zona Barat disebabkan oleh kelembaban tinggi yang menyebabkan komponen elektronik rusak|Mechanical|Sedang|Kelembaban tinggi|Remote tidak berfungsi|1228000
AC Split Sharp di kantor Gedung D Lantai 5 Zona Barat tidak dapat dihidupkan karena remote kontrol tidak berfungsi|Setelah melakukan inspeksi, ditemukan bahwa kelembaban tinggi di ruangan Gedung D Lantai 5 Zona Barat menyebabkan kerusakan pada remote AC Split Sharp|Mechanical|Sedang|Kelembaban tinggi|Remote tidak berfungsi|1228000
AC Split Panasonic di Gedung Utama Lantai 2 Zona Barat tiba-tiba mati dan mengeluarkan bau terbakar|Kerusakan terjadi karena korsleting pada komponen internal AC Split Panasonic di Gedung Utama Lantai 2 Zona Barat, disebabkan oleh human error saat pemasangan|Mechanical|Berat|Human error|Korsleting|4815000
AC Split merek Panasonic di Gedung Utama Lantai 2 Zona Barat mengalami gangguan dan tidak bisa dinyalakan, kemungkinan karena kesalahan teknisi|Laporan teknisi menunjukkan bahwa AC Split Panasonic di Gedung Utama Lantai 2 Zona Barat mengalami korsleting parah akibat human error, memerlukan perbaikan segera|Mechanical|Berat|Human error|Korsleting|4815000
Saya menemukan AC Split Panasonic di Gedung Utama Lantai 2 Zona Barat dalam keadaan rusak parah, dengan gejala seperti bau terbakar dan suara aneh|Inspeksi teknisi menemukan bahwa kerusakan pada AC Split Panasonic disebabkan oleh korsleting yang disebabkan oleh human error, sehingga memerlukan biaya perbaikan yang cukup besar|Mechanical|Berat|Human error|Korsleting|4815000
Kamera CCTV Dahua di Gedung Servis Lantai 3 Zona Selatan tidak berfungsi dengan baik|Kamera CCTV Dahua di Gedung Servis Lantai 3 Zona Selatan mengalami kerusakan karena debu/kotoran yang menyebabkan aus/abrasi, sehingga memerlukan perbaikan segera|Security Sistem|Berat|Debu/kotoran|Aus/abrasi|3796000
Kamera pengawas di Lantai 3 Zona Selatan Gedung Servis tiba-tiba mati|Setelah pemeriksaan, ditemukan bahwa kamera CCTV Dahua tersebut rusak parah karena terlalu banyak debu/kotoran yang menyebabkan aus/abrasi pada komponen internal|Security Sistem|Berat|Debu/kotoran|Aus/abrasi|3796000
