slang,formal
200an,200
200ny,200
200nya,200
200nyaa,200
200x,200
acan,ac
accessan,access
accessny,access
accessnya,access
accessnyaa,access
accessx,access
acny,ac
acnya,ac
acnyaa,ac
acpan,acp
acpny,acp
acpnya,acp
acpnyaa,acp
acpx,acp
acx,ac
ahuan,ahu
ahuny,ahu
ahunya,ahu
ahunyaa,ahu
ahux,ahu
airan,air
airny,air
airnya,air
airnyaa,air
airx,air
akustikan,akustik
akustikny,akustik
akustiknya,akustik
akustiknyaa,akustik
akustikx,akustik
alaman,alam
alamny,alam
alamnya,alam
alamnyaa,alam
alamx,alam
alarman,alarm
alarmny,alarm
alarmnya,alarm
alarmnyaa,alarm
alarmx,alarm
alumuniuman,alumunium
alumuniumny,alumunium
alumuniumnya,alumunium
alumuniumnyaa,alumunium
alumuniumx,alumunium
amplifieran,amplifier
amplifierny,amplifier
amplifiernya,amplifier
amplifiernyaa,amplifier
amplifierx,amplifier
anginan,angin
anginny,angin
anginnya,angin
anginnyaa,angin
anginx,angin
annunciatoran,annunciator
annunciatorny,annunciator
annunciatornya,annunciator
annunciatornyaa,annunciator
annunciatorx,annunciator
antenaan,antena
antenany,antena
antenanya,antena
antenanyaa,antena
antenax,antena
antreanan,antrean
antreanny,antrean
antreannya,antrean
antreannyaa,antrean
antreanx,antrean
apaban,apab
apabny,apab
apabnya,apab
apabnyaa,apab
apabx,apab
aparan,apar
aparny,apar
aparnya,apar
aparnyaa,apar
aparx,apar
apian,api
apiny,api
apinya,api
apinyaa,api
apix,api
areaan,area
areany,area
areanya,area
areanyaa,area
areax,area
asbesan,asbes
asbesny,asbes
asbesnya,asbes
asbesnyaa,asbes
asbesx,asbes
aspalan,aspal
aspalny,aspal
aspalnya,aspal
aspalnyaa,aspal
aspalx,aspal
atapan,atap
atapny,atap
atapnya,atap
atapnyaa,atap
atapx,atap
atsan,ats
atsny,ats
atsnya,ats
atsnyaa,ats
atsx,ats
audioan,audio
audiony,audio
audionya,audio
audionyaa,audio
audiox,audio
automatican,automatic
automaticny,automatic
automaticnya,automatic
automaticnyaa,automatic
automaticx,automatic
backlitan,backlit
backlitny,backlit
backlitnya,backlit
backlitnyaa,backlit
backlitx,backlit
bahanan,bahan
bahanny,bahan
bahannya,bahan
bahannyaa,bahan
bahanx,bahan
bajaan,baja
bajany,baja
bajanya,baja
bajanyaa,baja
bajax,baja
bakaran,bakar
bakarny,bakar
bakarnya,bakar
bakarnyaa,bakar
bakarx,bakar
balakaran,balakar
balakarny,balakar
balakarnya,balakar
balakarnyaa,balakar
balakarx,balakar
bangunanan,bangunan
bangunanny,bangunan
bangunannya,bangunan
bangunannyaa,bangunan
bangunanx,bangunan
bankan,bank
bankny,bank
banknya,bank
banknyaa,bank
bankx,bank
baran,bar
barangan,barang
barangny,barang
barangnya,barang
barangnyaa,barang
barangx,barang
barny,bar
barnya,bar
barnyaa,bar
barrieran,barrier
barrierny,barrier
barriernya,barrier
barriernyaa,barrier
barrierx,barrier
barx,bar
batuan,batu
batuny,batu
batunya,batu
batunyaa,batu
batux,batu
bellan,bell
bellny,bell
bellnya,bell
bellnyaa,bell
bellx,bell
bensinan,bensin
bensinny,bensin
bensinnya,bensin
bensinnyaa,bensin
bensinx,bensin
berbahanan,berbahan
berbahanny,berbahan
berbahannya,berbahan
berbahannyaa,berbahan
berbahanx,berbahan
berdaunan,berdaun
berdaunny,berdaun
berdaunnya,berdaun
berdaunnyaa,berdaun
berdaunx,berdaun
bersihan,bersih
bersihny,bersih
bersihnya,bersih
bersihnyaa,bersih
bersihx,bersih
besian,besi
besiny,besi
besinya,besi
besinyaa,besi
besix,besi
betonan,beton
betonny,beton
betonnya,beton
betonnyaa,beton
betonx,beton
biasaan,biasa
biasany,biasa
biasanya,biasa
biasanyaa,biasa
biasax,biasa
blockan,block
blockny,block
blocknya,block
blocknyaa,block
blockx,block
bloweran,blower
blowerny,blower
blowernya,blower
blowernyaa,blower
blowerx,blower
bosteran,boster
bosterny,boster
bosternya,boster
bosternyaa,boster
bosterx,boster
boxan,box
boxny,box
boxnya,box
boxnyaa,box
boxx,box
brekeran,breker
brekerny,breker
brekernya,breker
brekernyaa,breker
brekerx,breker
bulban,bulb
bulbny,bulb
bulbnya,bulb
bulbnyaa,bulb
bulbx,bulb
buttonan,button
buttonny,button
buttonnya,button
buttonnyaa,button
buttonx,button
callan,call
callny,call
callnya,call
callnyaa,call
callx,call
capacitoran,capacitor
capacitorny,capacitor
capacitornya,capacitor
capacitornyaa,capacitor
capacitorx,capacitor
cartridgean,cartridge
cartridgeny,cartridge
cartridgenya,cartridge
cartridgenyaa,cartridge
cartridgex,cartridge
cassettean,cassette
cassetteny,cassette
cassettenya,cassette
cassettenyaa,cassette
cassettex,cassette
cctvan,cctv
cctvny,cctv
cctvnya,cctv
cctvnyaa,cctv
cctvx,cctv
ceilingan,ceiling
ceilingny,ceiling
ceilingnya,ceiling
ceilingnyaa,ceiling
ceilingx,ceiling
chemicalan,chemical
chemicalny,chemical
chemicalnya,chemical
chemicalnyaa,chemical
chemicalx,chemical
chilleran,chiller
chillerny,chiller
chillernya,chiller
chillernyaa,chiller
chillerx,chiller
claddingan,cladding
claddingny,cladding
claddingnya,cladding
claddingnyaa,cladding
claddingx,cladding
closeran,closer
closerny,closer
closernya,closer
closernyaa,closer
closerx,closer
co2an,co2
co2ny,co2
co2nya,co2
co2nyaa,co2
co2x,co2
commercialan,commercial
commercialny,commercial
commercialnya,commercial
commercialnyaa,commercial
commercialx,commercial
compositan,composit
compositny,composit
compositnya,composit
compositnyaa,composit
compositx,composit
connectionan,connection
connectionny,connection
connectionnya,connection
connectionnyaa,connection
connectionx,connection
contactan,contact
contactny,contact
contactnya,contact
contactnyaa,contact
contactx,contact
controlan,control
controlleran,controller
controllerny,controller
controllernya,controller
controllernyaa,controller
controllerx,controller
controlny,control
controlnya,control
controlnyaa,control
controlx,control
cosan,cos
cosny,cos
cosnya,cos
cosnyaa,cos
cosx,cos
couplingan,coupling
couplingny,coupling
couplingnya,coupling
couplingnyaa,coupling
couplingx,coupling
cubicalan,cubical
cubicalny,cubical
cubicalnya,cubical
cubicalnyaa,cubical
cubicalx,cubical
cubiclean,cubicle
cubicleny,cubicle
cubiclenya,cubicle
cubiclenyaa,cubicle
cubiclex,cubicle
curtainan,curtain
curtainny,curtain
curtainnya,curtain
curtainnyaa,curtain
curtainx,curtain
daunan,daun
daunny,daun
daunnya,daun
daunnyaa,daun
daunx,daun
deepwellan,deepwell
deepwellny,deepwell
deepwellnya,deepwell
deepwellnyaa,deepwell
deepwellx,deepwell
detectoran,detector
detectorny,detector
detectornya,detector
detectornyaa,detector
detectorx,detector
dieselan,diesel
dieselny,diesel
dieselnya,diesel
dieselnyaa,diesel
dieselx,diesel
dimmeran,dimmer
dimmerny,dimmer
dimmernya,dimmer
dimmernyaa,dimmer
dimmerx,dimmer
dindingan,dinding
dindingny,dinding
dindingnya,dinding
dindingnyaa,dinding
dindingx,dinding
dooran,door
doorny,door
doornya,door
doornyaa,door
doorx,door
downlightan,downlight
downlightny,downlight
downlightnya,downlight
downlightnyaa,downlight
downlightx,downlight
drainan,drain
drainny,drain
drainnya,drain
drainnyaa,drain
drainx,drain
dryan,dry
dryny,dry
drynya,dry
drynyaa,dry
dryx,dry
ductan,duct
ductny,duct
ductnya,duct
ductnyaa,duct
ductx,duct
dumbwaiteran,dumbwaiter
dumbwaiterny,dumbwaiter
dumbwaiternya,dumbwaiter
dumbwaiternyaa,dumbwaiter
dumbwaiterx,dumbwaiter
dvran,dvr
dvrny,dvr
dvrnya,dvr
